,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
192,38,0.09397787495981902,50.0,2003.0,50,0.2,300
193,39,0.09578866697847843,50.0,2054.0,50,0.2,300
194,40,0.09759520797524601,50.0,2105.0,50,0.2,300
195,41,0.0993896669242531,50.0,2156.0,50,0.2,300
196,42,0.10121245798654854,50.0,2207.0,50,0.2,300
197,43,0.10301424993667752,50.0,2258.0,50,0.2,300
198,44,0.10481699998490512,50.0,2309.0,50,0.2,300
199,45,0.10663404199294746,50.0,2360.0,50,0.2,300
200,46,0.10845354199409485,50.0,2411.0,50,0.2,300
201,47,0.11028066696599126,50.0,2462.0,50,0.2,300
202,48,0.11209662503097206,50.0,2513.0,50,0.2,300
203,49,0.11388720793183893,50.0,2564.0,50,0.2,300
204,50,0.11566891695838422,50.0,2615.0,50,0.2,300
205,51,0.11747016699519008,50.0,2666.0,50,0.2,300
206,52,0.1192858750000596,50.0,2717.0,50,0.2,300
207,53,0.12234720797277987,50.0,2768.0,50,0.2,300
208,54,0.12423066701740026,50.0,2819.0,50,0.2,300
209,55,0.1260776249691844,50.0,2870.0,50,0.2,300
210,56,0.12930629192851484,50.0,2921.0,50,0.2,300
211,57,0.1320824580034241,50.0,2972.0,50,0.2,300
212,58,0.1351858749985695,50.0,3023.0,50,0.2,300
213,59,0.13746162492316216,50.0,3074.0,50,0.2,300
214,60,0.1393694169819355,50.0,3125.0,50,0.2,300
215,61,0.1412612919230014,50.0,3176.0,50,0.2,300
216,62,0.14311216701753438,50.0,3227.0,50,0.2,300
217,63,0.14571758301462978,50.0,3278.0,50,0.2,300
218,64,0.1476122080348432,50.0,3329.0,50,0.2,300
219,65,0.14947729196865112,50.0,3380.0,50,0.2,300
220,66,0.15731445793062449,50.0,3431.0,50,0.2,300
221,67,0.15928570798132569,50.0,3482.0,50,0.2,300
222,68,0.16112704202532768,50.0,3533.0,50,0.2,300
223,69,0.16294591699261218,50.0,3584.0,50,0.2,300
224,70,0.16476529196370393,50.0,3635.0,50,0.2,300
225,71,0.16659637494012713,50.0,3686.0,50,0.2,300
226,72,0.16839216696098447,50.0,3737.0,50,0.2,300
227,73,0.1702084579737857,50.0,3788.0,50,0.2,300
228,74,0.1720037079649046,50.0,3839.0,50,0.2,300
229,75,0.17381283303257078,50.0,3890.0,50,0.2,300
230,76,0.17561416700482368,50.0,3941.0,50,0.2,300
231,77,0.0008161660516634583,50.0,3992.0,50,0.2,300
232,78,0.26270574994850904,50.0,4043.0,50,0.2,300
233,79,0.26456637494266033,50.0,4094.0,50,0.2,300
234,80,0.26791691593825817,50.0,4145.0,50,0.2,300
235,81,0.2702848749468103,50.0,4196.0,50,0.2,300
236,82,0.2721732909558341,50.0,4247.0,50,0.2,300
237,0,0.0010100830113515258,27.0,50.0,50,0.4,300
238,1,0.02589554199948907,31.0,102.0,50,0.4,300
239,2,0.02787362493108958,33.0,154.0,50,0.4,300
240,3,0.029824999975971878,35.0,206.0,50,0.4,300
241,4,0.03176699997857213,35.0,257.0,50,0.4,300
242,5,0.033647999982349575,35.0,308.0,50,0.4,300
243,6,0.03550720796920359,38.0,360.0,50,0.4,300
244,7,0.03736458299681544,38.0,411.0,50,0.4,300
245,8,0.03918983298353851,39.0,463.0,50,0.4,300
246,9,0.04102470795623958,39.0,514.0,50,0.4,300
247,10,0.042863333015702665,39.0,565.0,50,0.4,300
248,11,0.04468858300242573,39.0,616.0,50,0.4,300
249,12,0.04651841695886105,39.0,667.0,50,0.4,300
250,13,0.0483571250224486,41.0,719.0,50,0.4,300
251,14,0.050205708015710115,43.0,771.0,50,0.4,300
252,15,0.0520567080238834,43.0,822.0,50,0.4,300
253,16,0.05387070798315108,45.0,874.0,50,0.4,300
254,17,0.055734916939400136,45.0,925.0,50,0.4,300
255,18,0.057569292024709284,45.0,976.0,50,0.4,300
256,19,0.05939616693649441,45.0,1027.0,50,0.4,300
257,20,0.06123429199215025,45.0,1078.0,50,0.4,300
258,21,0.06305887491907924,47.0,1130.0,50,0.4,300
259,22,0.06488704192452133,47.0,1181.0,50,0.4,300
260,23,0.06670724996365607,47.0,1232.0,50,0.4,300
261,24,0.06854354194365442,48.0,1284.0,50,0.4,300
262,25,0.0703626669710502,48.0,1335.0,50,0.4,300
263,26,0.07219500001519918,48.0,1386.0,50,0.4,300
264,27,0.07403725001495332,48.0,1437.0,50,0.4,300
265,28,0.07588549994397908,49.0,1489.0,50,0.4,300
266,29,0.07768087496515363,49.0,1540.0,50,0.4,300
267,30,0.07948316691908985,49.0,1591.0,50,0.4,300
268,31,0.08129620796535164,49.0,1642.0,50,0.4,300
269,32,0.08310175000224262,49.0,1693.0,50,0.4,300
270,33,0.08491999993566424,49.0,1744.0,50,0.4,300
271,34,0.086748042027466,49.0,1795.0,50,0.4,300
272,35,0.08856116700917482,49.0,1846.0,50,0.4,300
273,36,0.09035641700029373,50.0,1898.0,50,0.4,300
274,37,0.09216258302330971,50.0,1949.0,50,0.4,300
275,38,0.09397787495981902,50.0,2000.0,50,0.4,300
276,39,0.09578866697847843,50.0,2051.0,50,0.4,300
277,40,0.09759520797524601,50.0,2102.0,50,0.4,300
278,41,0.0993896669242531,50.0,2153.0,50,0.4,300
279,42,0.10121245798654854,50.0,2204.0,50,0.4,300
280,43,0.10301424993667752,50.0,2255.0,50,0.4,300
281,44,0.10481699998490512,50.0,2306.0,50,0.4,300
282,45,0.10663404199294746,50.0,2357.0,50,0.4,300
283,46,0.10845354199409485,50.0,2408.0,50,0.4,300
284,47,0.11028066696599126,50.0,2459.0,50,0.4,300
285,48,0.11209662503097206,50.0,2510.0,50,0.4,300
286,49,0.11388720793183893,50.0,2561.0,50,0.4,300
287,50,0.11566891695838422,50.0,2612.0,50,0.4,300
288,51,0.11747016699519008,50.0,2663.0,50,0.4,300
289,52,0.1192858750000596,50.0,2714.0,50,0.4,300
290,53,0.12234720797277987,50.0,2765.0,50,0.4,300
291,54,0.12423066701740026,50.0,2816.0,50,0.4,300
292,55,0.1260776249691844,50.0,2867.0,50,0.4,300
293,56,0.12930629192851484,50.0,2918.0,50,0.4,300
294,57,0.1320824580034241,50.0,2969.0,50,0.4,300
295,58,0.1351858749985695,50.0,3020.0,50,0.4,300
296,59,0.13746162492316216,50.0,3071.0,50,0.4,300
297,60,0.1393694169819355,50.0,3122.0,50,0.4,300
298,61,0.1412612919230014,50.0,3173.0,50,0.4,300
299,62,0.14311216701753438,50.0,3224.0,50,0.4,300
300,63,0.14571758301462978,50.0,3275.0,50,0.4,300
301,64,0.1476122080348432,50.0,3326.0,50,0.4,300
302,65,0.14947729196865112,50.0,3377.0,50,0.4,300
303,66,0.15731445793062449,50.0,3428.0,50,0.4,300
304,67,0.15928570798132569,50.0,3479.0,50,0.4,300
305,68,0.16112704202532768,50.0,3530.0,50,0.4,300
306,69,0.16294591699261218,50.0,3581.0,50,0.4,300
307,70,0.16476529196370393,50.0,3632.0,50,0.4,300
308,71,0.16659637494012713,50.0,3683.0,50,0.4,300
309,72,0.16839216696098447,50.0,3734.0,50,0.4,300
310,73,0.1702084579737857,50.0,3785.0,50,0.4,300
311,74,0.1720037079649046,50.0,3836.0,50,0.4,300
312,75,0.17381283303257078,50.0,3887.0,50,0.4,300
313,76,0.17561416700482368,50.0,3938.0,50,0.4,300
314,77,0.0008161660516634583,50.0,3989.0,50,0.4,300
315,78,0.26270574994850904,50.0,4040.0,50,0.4,300
316,79,0.26456637494266033,50.0,4091.0,50,0.4,300
317,80,0.26791691593825817,50.0,4142.0,50,0.4,300
318,81,0.2702848749468103,50.0,4193.0,50,0.4,300
319,82,0.2721732909558341,50.0,4244.0,50,0.4,300
320,83,0.2767854999983683,50.0,4295.0,50,0.4,300
321,84,0.27872874995227903,50.0,4346.0,50,0.4,300
322,85,0.2809770000167191,50.0,4397.0,50,0.4,300
323,86,0.28514104103669524,50.0,4448.0,50,0.4,300
324,0,0.0010100830113515258,27.0,50.0,50,0.6,300
325,1,0.02589554199948907,31.0,102.0,50,0.6,300
326,2,0.02787362493108958,33.0,154.0,50,0.6,300
327,3,0.029824999975971878,34.0,206.0,50,0.6,300
328,4,0.03176699997857213,35.0,258.0,50,0.6,300
329,5,0.033647999982349575,37.0,310.0,50,0.6,300
330,6,0.03550720796920359,39.0,362.0,50,0.6,300
331,7,0.03736458299681544,39.0,413.0,50,0.6,300
332,8,0.03918983298353851,41.0,465.0,50,0.6,300
333,9,0.04102470795623958,41.0,516.0,50,0.6,300
334,10,0.042863333015702665,43.0,568.0,50,0.6,300
335,11,0.04468858300242573,43.0,619.0,50,0.6,300
336,12,0.04651841695886105,44.0,671.0,50,0.6,300
337,13,0.0483571250224486,44.0,722.0,50,0.6,300
338,14,0.050205708015710115,44.0,773.0,50,0.6,300
339,15,0.0520567080238834,44.0,824.0,50,0.6,300
340,16,0.05387070798315108,44.0,875.0,50,0.6,300
341,17,0.055734916939400136,47.0,927.0,50,0.6,300
342,18,0.057569292024709284,47.0,978.0,50,0.6,300
343,19,0.05939616693649441,48.0,1030.0,50,0.6,300
344,20,0.06123429199215025,48.0,1081.0,50,0.6,300
345,21,0.06305887491907924,49.0,1133.0,50,0.6,300
346,22,0.06488704192452133,49.0,1184.0,50,0.6,300
347,23,0.06670724996365607,50.0,1236.0,50,0.6,300
348,24,0.06854354194365442,50.0,1287.0,50,0.6,300
349,25,0.0703626669710502,50.0,1338.0,50,0.6,300
350,26,0.07219500001519918,50.0,1389.0,50,0.6,300
351,27,0.07403725001495332,50.0,1440.0,50,0.6,300
352,28,0.07588549994397908,50.0,1491.0,50,0.6,300
353,29,0.07768087496515363,50.0,1542.0,50,0.6,300
354,30,0.07948316691908985,50.0,1593.0,50,0.6,300
